id,offerId,title,subheading,userReviewCount,roundedRating,rawPrice,offerCount,usedOnly,shopName,shippingCosts,shippingIsFreeOfCharge,isBestseller,total_capacity_gb,module_capacity_gb,num_modules,frequency_mts,cas_latency_raw,cas_latency_primary,voltage_v,form_factor,market,ram_category
6512957,5790667ab1bfdf46c70dc628bc496856,Corsair Dominator Platinum RGB 16GB Kit DDR4-3200 CL16 (CMT16GX4M2Z3200C16),RAM DDR4,20.0,90.0,213.73,4,False,PC Componentes IT,0.0,False,False,16.0,8.0,2.0,3200.0,CL 16-18-18-36,16.0,1.35,UDIMM,IT,DDR4
207742242,b968d16cb9d38d4ceb51e21b50b6ab20,Synology 8GB DDR4-2666 (D4ES03-8G),RAM DDR4,,,452.65,12,False,amazon-marketplace.it,10.0,False,False,8.0,8.0,1.0,2666.0,,,,SODIMM,IT,DDR4
4893209,c9ba533177252f46d2a0d80dd6ed1b53,Corsair ValueSelect 8GB SO-DIMM DDR4-2133 CL15 (CMSO8GX4M1A2133C15),RAM DDR4,,,77.47,7,False,amazon-marketplace.it,7.92,False,False,8.0,8.0,1.0,2133.0,,15.0,,SODIMM,IT,DDR4
201500889,22dfd7736f827bd5758c972f539c497b,Kingston FURY Beast 8GB Single-Kit DDR4-3600 CL17 (KF436C17BB/8),RAM DDR4,,,85.01,11,False,amazon-marketplace.it,0.0,False,False,8.0,8.0,1.0,3600.0,CL 17-21-21,17.0,1.35,UDIMM,IT,DDR4
5280329,77fc8b5e98dec5abc5437d18b86a9cde,Crucial 8GB SODIMM DDR4-2400 CL17 (CT8G4SFS824A),RAM DDR4,5.0,100.0,69.99,4,False,amazon-marketplace.it,0.0,False,False,8.0,8.0,1.0,2400.0,,17.0,,SODIMM,IT,DDR4
202353433,6b1b24f2d071e224b7015bc2da1f5527,Kingston Memoria RAM DIMM 64Gb DDR4 3200 ECC (KSM32RD4/64MFR),RAM DDR4,,,1055.17,8,False,amazon-marketplace.it,11.26,False,False,64.0,64.0,1.0,3200.0,,,1.2,UDIMM,IT,DDR4
202713826,6a0ed36cdb4256b68f464337293c4745,Micron 16GB DDR4-3200 ECC CL22 (MTA9ASF2G72AZ-3G2R),RAM DDR4,,,793.55,7,False,senetic.it,9.41,False,False,16.0,16.0,1.0,3200.0,CL 22-22-22,22.0,1.2,,IT,DDR4
200333307,d77fd3b8e122f063c170da6f3061b239,Kingston ValueRam 16GB DDR4-3200 CL22 (KVR32S22D8/16),RAM DDR4,,,151.88,18,False,bpm-power.com/it,5.92,False,False,16.0,8.0,2.0,3200.0,CL 22-22-22,22.0,1.2,UDIMM,IT,DDR4
6721523,1218707bb07f69d54192400842f881d6,G.Skill Trident Z Neo 16GB DDR4 DDR4-3000 CL16 (F4-3600C16D-16GTZNC),RAM DDR4,,,146.97,7,False,bpm-power.com/it,5.95,False,False,16.0,8.0,2.0,3600.0,CL 16-19-19-39,16.0,1.35,UDIMM,IT,DDR4
201502098,47b621f11c88e24a12efe11df827a575,Kingston FURY Beast 16GB Single-Kit DDR4-3600 CL18 (KF436C18BB/16),RAM DDR4,,,153.11,16,False,bpm-power.com/it,5.93,False,False,16.0,16.0,1.0,3600.0,CL 18-22-22,18.0,1.35,UDIMM,IT,DDR4
208823117,d3806b6e28c33fe30d6f751ac745465f,Dell 8GB DDR4-3200 UDIMM (AC140379),RAM DDR4,,,47.7,7,False,ollo.it,5.9,False,False,8.0,8.0,1.0,3200.0,,,,UDIMM,IT,DDR4
201502124,c77cdb0377783bd64c06c91004a6debb,Kingston FURY Beast 16GB Dual-Kit DDR4-3600 CL17 (KF436C17BBK2/16),RAM DDR4,,,149.0,12,False,galaxus.it,0.0,False,False,16.0,8.0,2.0,3600.0,CL 17-21-21,17.0,1.35,UDIMM,IT,DDR4
209710005,3a9107edfedf8962b80010d24768be47,Integral 8GB DDR4-3200 CL 22 (IN4V8GNGLTX),RAM DDR4,,,75.73,4,False,amazon-marketplace.it,0.0,False,False,8.0,8.0,1.0,3200.0,,,1.2,SODIMM,IT,DDR4
200283660,02011756eac3a01ca101ed767e32505c,Kingston ValueRAM 32GB DDR4-3200 CL22 (KVR32N22D8/32),RAM DDR4,,,272.18,17,False,PC Componentes IT,0.0,False,False,32.0,32.0,1.0,3200.0,CL 22-22-22,22.0,1.2,UDIMM,IT,DDR4
5069026,68a74a83f795e3f62cc5b99e409b5c78,Crucial 8GB DDR4-2400 CL17 (CT8G4DFS824A),RAM DDR4,1.0,100.0,69.99,5,False,amazon-marketplace.it,0.0,False,False,8.0,8.0,1.0,2400.0,CL 17-17-17,17.0,1.2,UDIMM,IT,DDR4
6111166,851ec08e6d66c300af68e4c477aa6718,Kingston 16GB DDR4-2666 (KCP426ND8/16),RAM DDR4,,,146.81,8,False,amazon-marketplace.it,9.1,False,False,16.0,16.0,1.0,2666.0,,,1.2,UDIMM,IT,DDR4
200610638,e165fc7ab9b7da5c5e55418cf024c8c8,Crucial 16GB Kit SODIMM DDR4-3200 CL22 (CT2K8G4SFRA32A),RAM DDR4,,,149.99,2,False,amazon-marketplace.it,0.0,False,False,16.0,8.0,2.0,3200.0,,22.0,1.2,SODIMM,IT,DDR4
201516166,b694523584708b41509cf2363e2f9e30,Corsair Vengance RGB Pro TUF Gaming Edition 16GB Kit DDR4-3200 CL16 (CMW16GX4M2E3200C16-TUF),RAM DDR4,,,208.57,4,False,amazon-marketplace.it,6.46,False,False,16.0,8.0,2.0,3200.0,,16.0,1.35,UDIMM,IT,DDR4
5047381,3a97f7118e195a873c5a256af2495633,Crucial DIMM 16GB Kit DDR4-2400 CL17 (CT2K8G4SFS824A),RAM DDR4,1.0,100.0,139.99,2,False,amazon-marketplace.it,0.0,False,False,16.0,8.0,2.0,2400.0,,17.0,,SODIMM,IT,DDR4
200794205,ebcfbb6d9672dbff5f5a64509f7cf35a,Kingston 8GB DDR4-2666 CL19 (KCP426NS6/8),RAM DDR4,,,93.02,7,False,amazon-marketplace.it,11.09,False,False,8.0,8.0,1.0,2666.0,,19.0,1.2,UDIMM,IT,DDR4
4900567,d52c05fcbea53a38f6129c7757ec3f5a,G.Skill Ripjaws 16GB Kit SO-DIMM DDR4-2400 CL16 (F4-2400C16D-16GRS),RAM DDR4,,,125.23,7,False,bpm-power.com/it,5.93,False,False,16.0,8.0,2.0,2400.0,,16.0,1.2,SODIMM,IT,DDR4
202592546,19cf503b2084920130eb0ee5252c5626,Synology D4ER01-16G,RAM DDR4,,,410.9,9,False,PC Componentes IT,0.0,False,False,16.0,16.0,1.0,,,,,,IT,DDR4
200721972,b7bdb5cc5689af12e4fe11153c9d3164,Kingston ValueRam 4GB SO-DIMM DDR4-3200 CL22 (KVR32S22S6/4),RAM DDR4,,,23.99,7,False,amazon-marketplace.it,3.99,False,False,4.0,4.0,1.0,3200.0,CL 22-22-22,22.0,1.2,SODIMM,IT,DDR4
5283725,b60f2714e35f40424547522d8b9366a4,G.Skill Ripjaws 32GB Kit DDR4 PC4-19200 CL16 (F4-2400C16D-32GRS),RAM DDR4,168.0,100.0,218.88,9,False,kaufland.it,0.0,False,False,32.0,16.0,2.0,2400.0,,16.0,1.2,SODIMM,IT,DDR4
200936442,0c48fca5fcab4e649f83111dcc33e8d3,Kingston 32GB DDR4-3200 CL22 (KCP432SD8/32),RAM DDR4,,,334.12,10,False,PC Componentes IT,0.0,False,False,32.0,32.0,1.0,3200.0,,22.0,1.2,SODIMM,IT,DDR4
204994698,c459e210bb29038fb888c598f8b5ca08,HP 13L77AA,RAM DDR4,,,112.46,7,False,senetic.it,9.41,False,False,8.0,8.0,1.0,3200.0,,,,SODIMM,IT,DDR4
202317382,2f6b47ad2b7f12040d2f0dea920cc973,Kingston 64GB DDR4-3200 CL22 (KSM32RD4/64HCR),RAM DDR4,,,1019.01,8,False,PC Componentes IT,0.0,False,False,64.0,64.0,1.0,3200.0,CL 22-22-22,22.0,1.2,UDIMM,IT,DDR4
202011415,3366c9c1eb3b404bc7c8ea5bdb662bc0,Corsair Vengeance 16GB DDR4-3200 CL22 (CMSX16GX4M1A3200C22),RAM DDR4,128.0,90.0,141.11,15,False,PC Componentes IT,0.0,False,False,16.0,16.0,1.0,3200.0,CL 22-22-22-53,22.0,1.2,SODIMM,IT,DDR4
200684086,26ccbcfd0e0b15ef1899982ed026edc4,Patriot Signature Line 16GB SODIMM DDR4-2666 CL19 (PSD416G26662S),RAM DDR4,,,124.2,10,False,eweki.it,7.87,False,False,16.0,16.0,1.0,2666.0,CL 19-19-19-43,19.0,1.2,SODIMM,IT,DDR4
206801025,03ddc30391e2849e352eedc9f997d9a1,Lenovo Modulo di Memoria DDR4 8 GB SO-DIMM 260-pin 3200 MHz (4X71D09532),RAM DDR4,,,84.67,7,False,bpm-power.com/it,5.93,False,False,8.0,8.0,1.0,3200.0,,,,SODIMM,IT,DDR4
200589334,1db32ee0bb205c083ee05cc75a2f7fe6,Patriot Signature Line 16GB DDR4-3200 CL22 (PSD416G320081),RAM DDR4,,,142.07,8,False,kaufland.it,0.0,False,False,16.0,16.0,1.0,3200.0,CL 22-22-22-52,22.0,1.2,UDIMM,IT,DDR4
6193634,93b701dc2b79db029202898cd974d14f,G.Skill Trident Z RGB 32GB Kit DDR4-3200 CL16 (F4-3200C16D-32GTZR),RAM DDR4,1.0,100.0,250.0,8,False,bpm-power.com/it,8.19,False,False,32.0,16.0,2.0,3200.0,CL 16-16-16-36,16.0,1.2,UDIMM,IT,DDR4
201493489,cf37b8684fe1c9a887769a6699b02369,Kingston FURY Beast 64GB Dual-Kit DDR4-3200 CL16 (KF432C16BBK2/64),RAM DDR4,3.0,100.0,594.83,11,False,PC Componentes IT,0.0,False,False,64.0,32.0,2.0,3200.0,CL 16-20-20,16.0,1.35,UDIMM,IT,DDR4
200184964,8df7c3a07927862357dca54bf99bbb31,Crucial 64GB Kit DDR4-3200 CL22 (CT2K32G4SFD832A),RAM DDR4,,,539.99,7,False,amazon-marketplace.it,0.0,False,False,64.0,32.0,2.0,3200.0,,22.0,1.2,SODIMM,IT,DDR4
200774453,fc6ecf48df3bb3f8d1d19aaa7ebb2e23,Kingston 8GB SO-DIMM DDR4-3200 CL22 (KCP432SS8/8),RAM DDR4,,,108.71,10,False,bpm-power.com/it,5.92,False,False,8.0,8.0,1.0,3200.0,,22.0,1.2,SODIMM,IT,DDR4
4885364,1da71e38296c6f4225555725fc90cafb,G.Skill Ripjaws V 16GB DDR4-3200 CL16 (F4-3200C16S-16GVK),RAM DDR4,1.0,100.0,115.8,12,False,redgaming.it,5.9,False,False,16.0,16.0,1.0,3200.0,CL 16-18-18-38,16.0,1.35,UDIMM,IT,DDR4
